iter	Passed	Remaining
420	1925	2647
421	1928	2641
422	1932	2636
423	1935	2629
424	1939	2623
425	1942	2616
426	1947	2613
427	1950	2607
428	1954	2601
429	1957	2595
430	1962	2590
431	1966	2585
432	1969	2578
433	1973	2573
434	1977	2567
435	1981	2563
436	1986	2558
437	1989	2552
438	1993	2547
439	1997	2542
440	2001	2536
441	2006	2533
442	2012	2530
443	2016	2525
444	2022	2522
445	2027	2518
446	2032	2514
447	2035	2508
448	2039	2502
449	2043	2498
450	2047	2492
451	2050	2486
452	2054	2481
453	2058	2476
454	2062	2470
455	2065	2464
456	2069	2458
457	2073	2453
458	2077	2448
459	2081	2443
460	2084	2437
461	2088	2432
462	2093	2427
463	2097	2422
464	2100	2417
465	2104	2411
466	2108	2406
467	2112	2401
468	2116	2395
469	2119	2390
470	2124	2385
471	2127	2380
472	2131	2374
473	2134	2369
474	2138	2364
475	2142	2358
476	2145	2352
477	2149	2347
478	2152	2341
479	2157	2336
480	2160	2330
481	2164	2325
482	2167	2319
483	2171	2314
484	2175	2310
485	2179	2304
486	2182	2299
487	2186	2293
488	2191	2289
489	2194	2283
490	2197	2278
491	2200	2272
492	2205	2267
493	2208	2262
494	2212	2256
495	2215	2251
496	2220	2247
497	2224	2242
498	2227	2236
499	2231	2231
500	2235	2226
501	2239	2221
502	2243	2216
503	2247	2211
504	2251	2206
505	2255	2202
506	2258	2196
507	2262	2191
508	2268	2187
509	2272	2183
510	2276	2178
511	2280	2173
512	2285	2169
513	2289	2164
514	2292	2159
515	2295	2153
516	2299	2148
517	2304	2144
518	2307	2138
519	2311	2133
520	2314	2128
521	2319	2123
522	2322	2118
523	2326	2113
524	2330	2108
525	2334	2103
526	2338	2098
527	2341	2093
528	2345	2088
529	2349	2083
530	2355	2080
531	2359	2075
532	2363	2070
533	2368	2066
534	2371	2061
535	2375	2056
536	2379	2051
537	2383	2046
538	2387	2041
539	2390	2036
540	2394	2031
541	2399	2027
542	2402	2022
543	2406	2017
544	2409	2011
545	2413	2007
546	2417	2001
547	2421	1997
548	2425	1992
549	2429	1988
550	2434	1983
551	2437	1978
552	2441	1973
553	2444	1968
554	2448	1963
555	2451	1957
556	2455	1953
557	2459	1947
558	2463	1943
559	2466	1938
560	2471	1933
561	2475	1929
562	2479	1924
563	2482	1919
564	2486	1914
565	2490	1909
566	2494	1905
567	2498	1900
568	2502	1895
569	2505	1890
570	2509	1885
571	2513	1880
572	2517	1875
573	2520	1870
574	2523	1865
575	2528	1860
576	2531	1856
577	2535	1851
578	2538	1845
579	2542	1841
580	2547	1836
581	2551	1832
582	2555	1827
583	2559	1823
584	2564	1818
585	2567	1813
586	2570	1808
587	2574	1803
588	2578	1799
589	2582	1794
590	2585	1789
591	2589	1784
592	2593	1780
593	2597	1775
594	2600	1770
595	2605	1765
596	2610	1761
597	2614	1757
598	2618	1752
599	2621	1747
600	2626	1743
601	2629	1738
602	2633	1733
603	2636	1728
604	2641	1724
605	2645	1719
606	2648	1714
607	2652	1710
608	2656	1705
609	2660	1701
610	2663	1695
611	2667	1690
612	2669	1685
613	2674	1681
614	2678	1676
615	2681	1671
616	2684	1666
617	2688	1661
618	2692	1657
619	2695	1652
620	2699	1647
621	2702	1642
622	2707	1638
623	2710	1633
624	2714	1628
625	2717	1623
626	2722	1619
627	2726	1614
628	2729	1609
629	2732	1605
630	2736	1600
631	2741	1596
632	2745	1591
633	2748	1586
634	2751	1581
635	2755	1576
636	2758	1571
637	2761	1566
638	2764	1561
639	2768	1557
640	2773	1553
641	2776	1548
642	2779	1543
643	2782	1538
644	2787	1534
645	2790	1529
646	2793	1524
647	2796	1519
648	2801	1514
649	2804	1510
650	2808	1505
651	2811	1500
652	2815	1496
653	2819	1491
654	2822	1486
655	2825	1481
656	2829	1477
657	2833	1472
658	2836	1467
659	2839	1462
660	2842	1457
661	2845	1452
662	2849	1448
663	2854	1444
664	2857	1439
665	2861	1435
666	2865	1430
667	2869	1426
668	2872	1421
669	2875	1416
670	2879	1411
671	2884	1407
672	2890	1404
673	2893	1399
674	2897	1394
675	2901	1390
676	2905	1386
677	2908	1381
678	2912	1376
679	2917	1373
680	2921	1368
681	2925	1364
682	2930	1360
683	2934	1355
684	2937	1350
685	2940	1345
686	2943	1341
687	2946	1336
688	2950	1331
689	2953	1326
690	2956	1321
691	2958	1316
692	2962	1312
693	2965	1307
694	2968	1302
695	2971	1297
696	2974	1293
697	2977	1288
698	2981	1283
699	2984	1279
700	2987	1274
701	2990	1269
702	2994	1264
703	2997	1260
704	3000	1255
705	3003	1250
706	3006	1245
707	3009	1241
708	3013	1236
709	3016	1232
710	3019	1227
711	3022	1222
712	3026	1218
713	3029	1213
714	3032	1208
715	3035	1204
716	3038	1199
717	3042	1194
718	3045	1190
719	3048	1185
720	3051	1180
721	3054	1176
722	3057	1171
723	3061	1166
724	3063	1162
725	3066	1157
726	3069	1152
727	3072	1148
728	3076	1143
729	3079	1139
730	3082	1134
731	3085	1129
732	3088	1125
733	3093	1120
734	3096	1116
735	3099	1111
736	3102	1107
737	3105	1102
738	3109	1098
739	3112	1093
740	3115	1089
741	3118	1084
742	3121	1079
743	3125	1075
744	3128	1070
745	3131	1066
746	3134	1061
747	3137	1057
748	3142	1053
749	3146	1048
750	3149	1044
751	3152	1039
752	3155	1035
753	3159	1030
754	3162	1026
755	3165	1021
756	3168	1017
757	3173	1013
758	3177	1008
759	3181	1004
760	3184	1000
761	3187	995
762	3190	991
763	3193	986
764	3196	982
765	3199	977
766	3202	972
767	3206	968
768	3209	964
769	3213	959
770	3216	955
771	3219	950
772	3223	946
773	3226	942
774	3229	937
775	3232	933
776	3236	928
777	3240	924
778	3243	920
779	3245	915
780	3249	911
781	3252	906
782	3256	902
783	3259	897
784	3262	893
785	3265	889
786	3268	884
787	3272	880
788	3275	875
789	3278	871
790	3281	866
791	3284	862
792	3288	858
793	3292	854
794	3295	849
795	3298	845
796	3302	841
797	3305	836
798	3308	832
799	3312	828
800	3314	823
801	3318	819
802	3322	814
803	3324	810
804	3327	806
805	3330	801
806	3334	797
807	3339	793
808	3342	789
809	3346	784
810	3349	780
811	3353	776
812	3357	772
813	3361	767
814	3364	763
815	3368	759
816	3371	755
817	3374	750
818	3378	746
819	3382	742
820	3385	738
821	3388	733
822	3392	729
823	3395	725
824	3400	721
825	3405	717
826	3408	713
827	3412	708
828	3416	704
829	3420	700
830	3423	696
831	3427	692
832	3430	687
833	3435	683
834	3439	679
835	3443	675
836	3447	671
837	3450	667
838	3454	662
839	3457	658
840	3460	654
841	3464	650
842	3468	645
843	3471	641
844	3474	637
845	3477	632
846	3481	628
847	3484	624
848	3487	620
849	3490	615
850	3493	611
851	3496	607
852	3500	603
853	3503	598
854	3507	594
855	3510	590
856	3514	586
857	3517	582
858	3520	577
859	3523	573
860	3526	569
861	3531	565
862	3534	561
863	3537	556
864	3540	552
865	3543	548
866	3548	544
867	3552	540
868	3555	535
869	3558	531
870	3563	527
871	3566	523
872	3569	519
873	3571	514
874	3574	510
875	3579	506
876	3583	502
877	3586	498
878	3589	494
879	3592	489
880	3597	485
881	3600	481
882	3603	477
883	3606	473
884	3610	469
885	3614	465
886	3617	460
887	3619	456
888	3622	452
889	3626	448
890	3629	444
891	3632	439
892	3635	435
893	3638	431
894	3643	427
895	3647	423
896	3651	419
897	3655	415
898	3660	411
899	3664	407
900	3668	403
901	3673	399
902	3677	395
903	3681	390
904	3685	386
905	3689	382
906	3693	378
907	3697	374
908	3701	370
909	3705	366
910	3710	362
911	3714	358
912	3718	354
913	3722	350
914	3727	346
915	3731	342
916	3735	338
917	3739	334
918	3743	329
919	3747	325
920	3751	321
921	3755	317
922	3760	313
923	3763	309
924	3767	305
925	3772	301
926	3776	297
927	3781	293
928	3785	289
929	3790	285
930	3794	281
931	3798	277
932	3802	273
933	3806	269
934	3811	264
935	3815	260
936	3820	256
937	3824	252
938	3829	248
939	3833	244
940	3839	240
941	3844	236
942	3850	232
943	3855	228
944	3859	224
945	3863	220
946	3867	216
947	3871	212
948	3875	208
949	3880	204
950	3884	200
951	3888	196
952	3892	191
953	3896	187
954	3900	183
955	3904	179
956	3908	175
957	3912	171
958	3917	167
959	3921	163
960	3926	159
961	3930	155
962	3934	151
963	3939	147
964	3943	143
965	3947	138
966	3951	134
967	3955	130
968	3959	126
969	3965	122
970	3968	118
971	3971	114
972	3974	110
973	3979	106
974	3984	102
975	3988	98
976	3991	93
977	3995	89
978	3998	85
979	4001	81
980	4004	77
981	4007	73
982	4010	69
983	4014	65
984	4017	61
985	4020	57
986	4023	52
987	4027	48
988	4031	44
989	4035	40
990	4039	36
991	4043	32
992	4047	28
993	4050	24
994	4053	20
995	4055	16
996	4059	12
997	4063	8
998	4066	4
999	4069	0
